"id","title","category","category_id","rental_count","rank","city","city_id"
143,"Chill Luck","Drama",7,2,185,"Huaian",210
489,"Juggler Hardly","Animation",2,2,186,"Livorno",309
131,"Center Dinosaur","Classics",4,2,187,"Haining",193
972,"Whisperer Giant","Sci-Fi",14,2,188,"Bijapur",78
568,"Memento Zoolander","Comedy",5,2,189,"Tiefa",536
388,"Gunfight Moon","Comedy",5,2,190,"Mysore",350
785,"Shawshank Bubble","Travel",16,2,191,"Faaa",167
945,"Virginian Pluto","Documentary",6,2,192,"Cuman",132
531,"Lose Inch","Foreign",9,2,193,"Tangail",525
865,"Sunrise League","Animation",2,2,194,"Kisumu",271
603,"Movie Shakespeare","Family",8,2,195,"Cabuyao",98
116,"Candidate Perdition","Classics",4,2,196,"Bhopal",76
114,"Camelot Vacation","Sci-Fi",14,2,197,"Izumisano",229
861,"Suit Walls","Games",10,2,198,"Coatzacoalcos",125
231,"Dinosaur Secretary","Family",8,2,199,"Liaocheng",302
966,"Wedding Apollo","Documentary",6,2,200,"Ikerre",218
298,"Eyes Driving","Sci-Fi",14,2,201,"Baha Blanca",45
563,"Massacre Usual","Games",10,2,202,"al-Hawiya",13
571,"Metal Armageddon","Documentary",6,2,203,"Balurghat",51
689,"Pollock Deliverance","Foreign",9,2,204,"Sumqayit",505
387,"Gun Bonnie","Games",10,2,205,"Rustenburg",437
209,"Darkness War","Drama",7,2,206,"London",312
555,"Mallrats United","Comedy",5,2,207,"Lima",305
367,"Goldmine Tycoon","Sci-Fi",14,2,208,"Cabuyao",98
737,"Rock Instinct","Horror",11,2,209,"Yamuna Nagar",582
273,"Effect Gladiator","Family",8,2,210,"Gatineau",179
973,"Wife Turn","Documentary",6,2,211,"Dundee",149
341,"Frost Head","Classics",4,2,212,"Haldia",195
555,"Mallrats United","Comedy",5,2,213,"Nabereznyje Telny",352
496,"Kick Savannah","Travel",16,1,214,"Brescia",91
219,"Deep Crusade","Documentary",6,1,215,"Syrakusa",511
164,"Coast Rainbow","Documentary",6,1,216,"Boa Vista",84
702,"Pulp Beverly","Horror",11,1,217,"Lima",305
911,"Trip Newton","Action",1,1,218,"Brockton",94
772,"Sea Virgin","Drama",7,1,219,"Richmond Hill",430
893,"Titans Jerk","Sci-Fi",14,1,220,"Mit Ghamr",337
284,"Enemy Odds","Music",12,1,221,"Fuyu",174
476,"Jason Trap","Family",8,1,222,"Maikop",320
330,"Forrester Comancheros","Animation",2,1,223,"Cavite",104
274,"Egg Igby","Documentary",6,1,224,"Brescia",91
19,"Amadeus Holy","Action",1,1,225,"Myingyan",349
245,"Double Wrath","Animation",2,1,226,"Baha Blanca",45
651,"Packer Madigan","Animation",2,1,227,"Southend-on-Sea",495
326,"Flying Hook","Animation",2,1,228,"Kamyin",259
220,"Deer Virginian","Music",12,1,229,"s-Hertogenbosch",438
977,"Window Side","Travel",16,1,230,"Linz",307
482,"Jeopardy Encino","Classics",4,1,231,"Zalantun",592
430,"Hook Chariots","Animation",2,1,232,"Najafabad",356
460,"Innocent Usual","Foreign",9,1,233,"Graz",186
611,"Musketeers Wait","Classics",4,1,234,"Coatzacoalcos",125
560,"Mars Roman","Games",10,1,235,"Surakarta",509
23,"Anaconda Confessions","Animation",2,1,236,"Batman",58
703,"Punk Divorce","Animation",2,1,237,"Dayton",140
938,"Velvet Terminator","Comedy",5,1,238,"Sterling Heights",499
662,"Paths Control","Drama",7,1,239,"Monywa",342
938,"Velvet Terminator","Comedy",5,1,240,"al-Hawiya",13
67,"Berets Agent","Action",1,1,241,"Sawhaj",465
324,"Flintstones Happiness","Comedy",5,1,242,"Qomsheh",423
479,"Jedi Beneath","Family",8,1,243,"Richmond Hill",430
188,"Crazy Home","Comedy",5,1,244,"Namibe",360
695,"President Bang","Family",8,1,245,"Emmen",158
608,"Murder Antitrust","Children",3,1,246,"Liepaja",303
512,"League Hellfighters","Classics",4,1,247,"Santa Rosa",458
249,"Dracula Crystal","Classics",4,1,248,"Ruse",436
631,"Novocaine Flight","Sports",15,1,249,"Gandhinagar",176
776,"Secret Groundhog","Documentary",6,1,250,"Tandil",524
300,"Falcon Volume","Animation",2,1,251,"Nakhon Sawan",358
870,"Swarm Gold","Horror",11,1,252,"Shimoga",473
298,"Eyes Driving","Sci-Fi",14,1,253,"Ikerre",218
817,"Soldiers Evolution","Sci-Fi",14,1,254,"Omdurman",379
446,"Hysterical Grail","Sports",15,1,255,"Korla",277
421,"Holiday Games","Foreign",9,1,256,"Lengshuijiang",298
813,"Smoochy Control","Sports",15,1,257,"NDjamna",363
51,"Balloon Homeward","Music",12,1,258,"Livorno",309
212,"Darn Forrester","Action",1,1,259,"Sultanbeyli",504
319,"Fish Opus","Sci-Fi",14,1,260,"Jaroslavl",235
301,"Family Sweet","Horror",11,1,261,"Yamuna Nagar",582
154,"Clash Freddy","Animation",2,1,262,"Tuguegarao",548
341,"Frost Head","Classics",4,1,263,"Salamanca",445
279,"Elizabeth Shane","Sports",15,1,264,"Quilmes",424
962,"Wasteland Divine","Classics",4,1,265,"Callao",99
883,"Tequila Past","Children",3,1,266,"Abha",2
879,"Telegraph Voyage","Music",12,1,267,"Richmond Hill",430
249,"Dracula Crystal","Classics",4,1,268,"Jurez",250
115,"Campus Remember","Action",1,1,269,"Xinxiang",581
551,"Maiden Home","New",13,1,270,"Dallas",135
140,"Cheaper Clyde","Sci-Fi",14,1,271,"Mogiljov",339
938,"Velvet Terminator","Comedy",5,1,272,"Rancagua",428
425,"Holy Tadpole","Classics",4,1,273,"Fengshan",168
331,"Forward Temple","Games",10,1,274,"Rockford",435
788,"Ship Wonderland","Documentary",6,1,275,"Coatzacoalcos",125
383,"Groove Fiction","Sports",15,1,276,"Anpolis",26
301,"Family Sweet","Horror",11,1,277,"San Felipe de Puerto Plata",450
984,"Wonderful Drop","Foreign",9,1,278,"Jodhpur",243
908,"Trap Guys","Foreign",9,1,279,"Denizli",142
280,"Empire Malkovich","Children",3,1,280,"Ilorin",220
16,"Alley Evolution","Foreign",9,1,281,"Kalisz",255
538,"Loverboy Attacks","New",13,1,282,"Malm",321
707,"Quest Mussolini","Action",1,1,283,"Crdoba",128
651,"Packer Madigan","Animation",2,1,284,"Dayton",140
177,"Connecticut Tramp","Sci-Fi",14,1,285,"Zaria",596
531,"Lose Inch","Foreign",9,1,286,"Alessandria",17
313,"Fidelity Devil","Horror",11,1,287,"Cape Coral",101
179,"Conquerer Nuts","Drama",7,1,288,"Tambaram",522
376,"Grapes Fury","Foreign",9,1,289,"Ashqelon",36
843,"Steel Santa","Classics",4,1,290,"Arak",31
469,"Iron Moon","Classics",4,1,291,"Ljubertsy",310
698,"Princess Giant","Documentary",6,1,292,"Kursk",286
54,"Banger Pinocchio","Music",12,1,293,"Binzhou",80
13,"Ali Forever","Horror",11,1,294,"Maikop",320
518,"Liaisons Sweet","Travel",16,1,295,"Higashiosaka",203
845,"Stepmom Dream","Foreign",9,1,296,"Banjul",54
51,"Balloon Homeward","Music",12,1,297,"Cianjur",117
164,"Coast Rainbow","Documentary",6,1,298,"Almirante Brown",20
560,"Mars Roman","Games",10,1,299,"Laohekou",293
969,"West Lion","Drama",7,1,300,"Shubra al-Khayma",476
836,"Squad Fish","Sports",15,1,301,"Mosul",344
548,"Magnificent Chitty","Classics",4,1,302,"Plock",409
296,"Express Lonely","Sci-Fi",14,1,303,"Coacalco de Berriozbal",124
689,"Pollock Deliverance","Foreign",9,1,304,"Karnal",263
544,"Madison Trap","Documentary",6,1,305,"Santiago de los Caballeros",460
815,"Snatchers Montezuma","Classics",4,1,306,"Ruse",436
831,"Spirited Casualties","Sci-Fi",14,1,307,"Coacalco de Berriozbal",124
270,"Earth Vision","New",13,1,308,"Taizz",518
322,"Flatliners Killer","Sports",15,1,309,"Plock",409
806,"Sleepy Japanese","New",13,1,310,"Gingoog",182
733,"River Outlaw","Sports",15,1,311,"Ambattur",22
784,"Shanghai Tycoon","Travel",16,1,312,"Pune",417
857,"Strictly Scarface","Comedy",5,1,313,"Dallas",135
613,"Mystic Truman","Comedy",5,1,314,"Zhoushan",599
533,"Lost Bird","Foreign",9,1,315,"Sokoto",488
476,"Jason Trap","Family",8,1,316,"Augusta-Richmond County",41
109,"Butterfly Chocolat","New",13,1,317,"Coatzacoalcos",125
896,"Tootsie Pilot","Children",3,1,318,"Atlixco",40
245,"Double Wrath","Animation",2,1,319,"Zeleznogorsk",597
864,"Sundance Invasion","Children",3,1,320,"Jastrzebie-Zdrj",236
620,"Nemo Campus","Sci-Fi",14,1,321,"Shikarpur",472
985,"Wonderland Christmas","Sci-Fi",14,1,322,"Najafabad",356
775,"Seattle Expecations","Drama",7,1,323,"Simferopol",479
253,"Drifter Commandments","Action",1,1,324,"Ede",151
158,"Clones Pinocchio","Music",12,1,325,"Baybay",61
989,"Working Microcosmos","Travel",16,1,326,"Sambhal",448
39,"Armageddon Lost","Sci-Fi",14,1,327,"Dallas",135
17,"Alone Trip","Music",12,1,328,"Mwanza",347
358,"Gilmore Boiled","Classics",4,1,329,"Jodhpur",243
402,"Harper Dying","Animation",2,1,330,"Lilongwe",304
947,"Vision Torque","Foreign",9,1,331,"Juazeiro do Norte",247
545,"Madness Attacks","Foreign",9,1,332,"Masqat",329
953,"Wait Cider","Animation",2,1,333,"Kaduna",252
819,"Song Hedwig","Music",12,1,334,"Teboksary",531
631,"Novocaine Flight","Sports",15,1,335,"Kakamigahara",253
711,"Raging Airplane","Sci-Fi",14,1,336,"Tsaotun",546
371,"Gosford Donnie","Action",1,1,337,"Sumqayit",505
632,"Nuts Ties","New",13,1,338,"Linz",307
267,"Eagles Panky","New",13,1,339,"Ocumare del Tuy",373
663,"Patient Sister","Classics",4,1,340,"Ambattur",22
531,"Lose Inch","Foreign",9,1,341,"Botshabelo",87
285,"English Bulworth","Sci-Fi",14,1,342,"Gingoog",182
807,"Sleuth Orient","Games",10,1,343,"San Felipe de Puerto Plata",450
234,"Disturbing Scarface","Sci-Fi",14,1,344,"Zaria",596
562,"Masked Bubble","Music",12,1,345,"Kursk",286
715,"Range Moonwalker","Family",8,1,346,"Changzhou",109
659,"Park Citizen","Action",1,1,347,"Valle de Santiago",563
610,"Music Boondock","Family",8,1,348,"Ciparay",119
763,"Satisfaction Confidential","Sports",15,1,349,"Suihua",502
638,"Operation Operation","Comedy",5,1,350,"Balaiha",49
394,"Hamlet Wisdom","Sci-Fi",14,1,351,"Sambhal",448
485,"Jersey Sassy","Children",3,1,352,"Oulu",387
154,"Clash Freddy","Animation",2,1,353,"Escobar",161
466,"Intolerable Intentions","Documentary",6,1,354,"Tanza",527
603,"Movie Shakespeare","Family",8,1,355,"Skikda",483
382,"Grit Clockwork","Games",10,1,356,"Ocumare del Tuy",373
493,"Kane Exorcist","Foreign",9,1,357,"Garland",178
473,"Jacket Frisco","Drama",7,1,358,"Eskisehir",163
356,"Giant Troopers","Children",3,1,359,"Bhusawal",77
944,"Virgin Daisy","Drama",7,1,360,"Shimonoseki",474
130,"Celebrity Horn","Action",1,1,361,"Salinas",446
462,"Insider Arizona","Music",12,1,362,"Teboksary",531
349,"Gangs Pride","Animation",2,1,363,"Kisumu",271
343,"Full Flatliners","Children",3,1,364,"Huejutla de Reyes",212
153,"Citizen Shrek","Sci-Fi",14,1,365,"Southend-on-Sea",495
921,"Uncut Suicides","Music",12,1,366,"Wroclaw",577
784,"Shanghai Tycoon","Travel",16,1,367,"Bhopal",76
660,"Party Knock","Comedy",5,1,368,"Kamakura",256
544,"Madison Trap","Documentary",6,1,369,"Gaziantep",180
709,"Racer Egg","Drama",7,1,370,"Cape Coral",101
931,"Valentine Vanishing","Travel",16,1,371,"Oulu",387
206,"Dancing Fever","Documentary",6,1,372,"Sokoto",488
951,"Voyage Legally","Classics",4,1,373,"Chisinau",115
320,"Flamingos Connecticut","New",13,1,374,"Bratislava",90
982,"Women Dorado","Action",1,1,375,"Songkhla",489
396,"Hanging Deep","Drama",7,1,376,"Paarl",392
456,"Inch Jet","Animation",2,1,377,"Miyakonojo",338
393,"Halloween Nuts","Documentary",6,1,378,"Tabriz",514
506,"Lady Stage","Horror",11,1,379,"Kimberley",267
253,"Drifter Commandments","Action",1,1,380,"Patiala",400
306,"Feathers Metal","Games",10,1,381,"Xintai",580
783,"Shane Darkness","Travel",16,1,382,"Nagareyama",355
906,"Tramp Others","Comedy",5,1,383,"Tama",521
448,"Idaho Love","New",13,1,384,"Tartu",530
278,"Elf Murder","Music",12,1,385,"Siliguri (Shiliguri)",478
693,"Potter Connecticut","Animation",2,1,386,"Santa Rosa",458
717,"Rear Trading","Action",1,1,387,"Apeldoorn",29
975,"Willow Tracy","Family",8,1,388,"Amroha",24
391,"Half Outfield","Family",8,1,389,"Graz",186
366,"Goldfinger Sensibility","Drama",7,1,390,"Nuuk",371
184,"Core Suit","Classics",4,1,391,"Kuwana",287
790,"Shootist Superfly","Drama",7,1,392,"Batna",59
748,"Rugrats Shakespeare","Action",1,1,393,"Yerevan",586
492,"Jungle Closer","New",13,1,394,"Batna",59
337,"Frida Slipper","Foreign",9,1,395,"Sultanbeyli",504
254,"Driver Annie","Sports",15,1,396,"Almirante Brown",20
639,"Opposite Necklace","Family",8,1,397,"Rio Claro",431
970,"Westward Seabiscuit","Classics",4,1,398,"Brindisi",93
843,"Steel Santa","Classics",4,1,399,"Memphis",333
474,"Jade Bunch","Sports",15,1,400,"Jelets",238
312,"Fiddler Lost","Sci-Fi",14,1,401,"Greensboro",187
115,"Campus Remember","Action",1,1,402,"Benguela",67
782,"Shakespeare Saddle","Sports",15,1,403,"Quilmes",424
690,"Pond Seattle","Animation",2,1,404,"Changhwa",108
13,"Ali Forever","Horror",11,1,405,"Ourense (Orense)",388
680,"Pinocchio Simon","Comedy",5,1,406,"Kilis",266
579,"Minds Truman","Action",1,1,407,"Baha Blanca",45
650,"Pacific Amistad","Documentary",6,1,408,"Tete",534
448,"Idaho Love","New",13,1,409,"Kamjanets-Podilskyi",258
911,"Trip Newton","Action",1,1,410,"Jaipur",231
206,"Dancing Fever","Documentary",6,1,411,"Joliet",245
142,"Chicken Hellfighters","Documentary",6,1,412,"Tongliao",540
218,"Deceiver Betrayed","Drama",7,1,413,"Hanoi",201
901,"Tracy Cider","Animation",2,1,414,"Guadalajara",188
479,"Jedi Beneath","Family",8,1,415,"Xiangfan",578
897,"Torque Bound","Drama",7,1,416,"Jodhpur",243
541,"Luke Mummy","Animation",2,1,417,"Tarlac",528
89,"Borrowers Bedazzled","Animation",2,1,418,"Abu Dhabi",3
774,"Searchers Wait","Comedy",5,1,419,"Pachuca de Soto",393
780,"Sensibility Rear","Family",8,1,420,"Dongying",145
136,"Chaplin License","New",13,1,421,"San Bernardino",449
193,"Crossroads Casualties","Animation",2,1,422,"Namibe",360
408,"Head Stranger","Games",10,1,423,"Cabuyao",98
212,"Darn Forrester","Action",1,1,424,"Toulouse",544
256,"Drop Waterfront","Sports",15,1,425,"Sorocaba",490
521,"Lies Treatment","Drama",7,1,426,"Mandi Bahauddin",324
618,"Necklace Outbreak","Drama",7,1,427,"Lengshuijiang",298
649,"Oz Liaisons","Animation",2,1,428,"Batman",58
670,"Pelican Comforts","Documentary",6,1,429,"Salamanca",445
592,"Monster Spartacus","Music",12,1,430,"Bchar",63
757,"Sagebrush Clueless","Documentary",6,1,431,"Sogamoso",487
724,"Remember Diary","Family",8,1,432,"Angra dos Reis",25
135,"Chance Resurrection","Sports",15,1,433,"Nezahualcyotl",365
356,"Giant Troopers","Children",3,1,434,"Luzinia",317
17,"Alone Trip","Music",12,1,435,"Tanza",527
525,"Loathing Legally","Classics",4,1,436,"Zhezqazghan",598
646,"Outbreak Divine","Games",10,1,437,"Korolev",278
577,"Mile Mulan","Sports",15,1,438,"Santa F",457
208,"Dares Pluto","Animation",2,1,439,"Apeldoorn",29
766,"Savannah Town","Drama",7,1,440,"Zaria",596
666,"Paycheck Wait","Drama",7,1,441,"Chungho",116
722,"Reef Salute","Horror",11,1,442,"Poos de Caldas",413
375,"Grail Frankenstein","Action",1,1,443,"Ilorin",220
322,"Flatliners Killer","Sports",15,1,444,"Olomouc",378
309,"Feud Frogmen","Family",8,1,445,"Buenaventura",96
822,"Soup Wisdom","Family",8,1,446,"Lima",305
410,"Heaven Freedom","Comedy",5,1,447,"Sunnyvale",508
